ID,group,item.number,item,spelling.learned,reduction.type,pronunciation,button.pressedd,correct,RT,trial,spellingTest.answer,spelling.correct
CN03,Canonical_None,111,gleanny,canonical,nasal,"New words, trained pronunciation",1,1,580,41,,
CN03,Canonical_None,105,glunner,none,nasal,"New words, trained pronunciation",1,1,648,19,,
CN03,Canonical_None,127,lucrunny,none,nasal,"New words, trained pronunciation",1,1,728,94,,
CN03,Canonical_None,113,piddery,canonical,flap,"New words, trained pronunciation",1,1,524,82,,
CN03,Canonical_None,116,pribeddy,none,flap,"New words, trained pronunciation",1,1,587,93,,
CN03,Canonical_None,107,prounner,none,nasal,"New words, trained pronunciation",1,1,655,24,,
CN03,Canonical_None,100,ruddow,canonical,flap,"New words, trained pronunciation",1,1,853,115,,
CN03,Canonical_None,119,sceaneddy,canonical,flap,"New words, trained pronunciation",1,1,870,21,,
CN03,Canonical_None,106,senno,canonical,nasal,"New words, trained pronunciation",1,1,641,120,,
CN03,Canonical_None,103,sleddow,canonical,flap,"New words, trained pronunciation",1,1,1271,26,,
CN03,Canonical_None,112,slyddenee,none,flap,"New words, trained pronunciation",4,0,1092,97,,
CN03,Canonical_None,108,smounnus,canonical,nasal,"New words, trained pronunciation",1,1,1068,17,,
CN03,Canonical_None,120,sounnerby,canonical,nasal,"New words, trained pronunciation",1,1,1101,42,,
CN03,Canonical_None,118,spearoddus,none,flap,"New words, trained pronunciation",1,1,841,77,,
CN03,Canonical_None,123,spennogy,none,nasal,"New words, trained pronunciation",1,1,793,78,,
CN03,Canonical_None,126,suspinnus,canonical,nasal,"New words, trained pronunciation",1,1,1003,126,,
CN03,Canonical_None,117,trecoddus,canonical,flap,"New words, trained pronunciation",1,1,1073,70,,
CN03,Canonical_None,114,treddemus,canonical,flap,"New words, trained pronunciation",1,1,677,80,,
CN03,Canonical_None,104,trenner,canonical,nasal,"New words, trained pronunciation",1,1,487,88,,
CN03,Canonical_None,97,troddy,canonical,flap,"New words, trained pronunciation",1,1,620,18,,
CN03,Canonical_None,109,trounny,none,nasal,"New words, trained pronunciation",1,1,1024,123,,
CN03,Canonical_None,115,veddetus,none,flap,"New words, trained pronunciation",1,1,714,95,,
CN03,Canonical_None,122,vinnimal,canonical,nasal,"New words, trained pronunciation",1,1,621,46,,
CN03,Canonical_None,102,vouddy,none,flap,"New words, trained pronunciation",1,1,566,98,,
CN03,Canonical_None,35,blittus,none,flap,"New words, canonical pronunciation",4,1,978,107,,
CN03,Canonical_None,60,bredento,canonical,nasal,"New words, canonical pronunciation",4,1,937,90,,
CN03,Canonical_None,46,buntow,none,nasal,"New words, canonical pronunciation",1,0,758,20,,
CN03,Canonical_None,32,bytto,canonical,flap,"New words, canonical pronunciation",1,0,764,113,,
CN03,Canonical_None,34,cluttee,none,flap,"New words, canonical pronunciation",1,0,744,65,,
CN03,Canonical_None,61,credenter,none,nasal,"New words, canonical pronunciation",1,0,750,37,,
CN03,Canonical_None,57,cyntergus,none,nasal,"New words, canonical pronunciation",4,1,1499,101,,
CN03,Canonical_None,37,fluttow,none,flap,"New words, canonical pronunciation",1,0,715,32,,
CN03,Canonical_None,47,gleanty,canonical,nasal,"New words, canonical pronunciation",1,0,755,125,,
CN03,Canonical_None,41,glunter,none,nasal,"New words, canonical pronunciation",4,1,683,111,,
CN03,Canonical_None,63,lucrunty,none,nasal,"New words, canonical pronunciation",1,0,827,100,,
CN03,Canonical_None,49,pittery,canonical,flap,"New words, canonical pronunciation",1,0,519,104,,
CN03,Canonical_None,52,pribetty,none,flap,"New words, canonical pronunciation",1,0,627,34,,
CN03,Canonical_None,43,prounter,none,nasal,"New words, canonical pronunciation",4,1,921,23,,
CN03,Canonical_None,36,ruttow,canonical,flap,"New words, canonical pronunciation",4,1,739,59,,
CN03,Canonical_None,55,sceanetty,canonical,flap,"New words, canonical pronunciation",1,0,803,48,,
CN03,Canonical_None,42,sento,canonical,nasal,"New words, canonical pronunciation",1,0,773,1,,
CN03,Canonical_None,39,slettow,canonical,flap,"New words, canonical pronunciation",1,0,828,9,,
CN03,Canonical_None,48,slyttenee,none,flap,"New words, canonical pronunciation",1,0,724,96,,
CN03,Canonical_None,44,smountus,canonical,nasal,"New words, canonical pronunciation",1,0,887,40,,
CN03,Canonical_None,56,sounterby,canonical,nasal,"New words, canonical pronunciation",4,1,1024,10,,
CN03,Canonical_None,54,spearottus,none,flap,"New words, canonical pronunciation",1,0,1021,22,,
CN03,Canonical_None,59,spentogy,none,nasal,"New words, canonical pronunciation",4,1,1114,53,,
CN03,Canonical_None,62,suspintus,canonical,nasal,"New words, canonical pronunciation",1,0,955,38,,
CN03,Canonical_None,53,trecottus,canonical,flap,"New words, canonical pronunciation",1,0,1044,119,,
CN03,Canonical_None,40,trenter,canonical,nasal,"New words, canonical pronunciation",1,0,571,49,,
CN03,Canonical_None,50,trettemus,canonical,flap,"New words, canonical pronunciation",1,0,824,69,,
CN03,Canonical_None,33,trotty,canonical,flap,"New words, canonical pronunciation",1,0,887,116,,
CN03,Canonical_None,45,trounty,none,nasal,"New words, canonical pronunciation",1,0,1234,110,,
CN03,Canonical_None,51,vettetus,none,flap,"New words, canonical pronunciation",1,0,1001,67,,
CN03,Canonical_None,58,vintimal,canonical,nasal,"New words, canonical pronunciation",4,1,887,35,,
CN03,Canonical_None,38,voutty,none,flap,"New words, canonical pronunciation",1,0,871,106,,
CN03,Canonical_None,64,abron,,,Nonwords,4,1,572,124,,
CN03,Canonical_None,65,balloom,,,Nonwords,1,0,598,99,,
CN03,Canonical_None,68,bashketball,,,Nonwords,4,1,660,62,,
